"","name","year","F","M","greatermale"
"1","Aaban",2016,0,96,TRUE
"2","Aabha",2016,35,0,FALSE
"3","Aabid",2016,0,10,TRUE
"4","Aabir",2016,0,5,TRUE
"5","Aabriella",2016,26,0,FALSE
"6","Aada",2015,5,0,FALSE
"7","Aadam",2016,0,236,TRUE
"8","Aadan",2015,0,122,TRUE
"9","Aadarsh",2016,0,184,TRUE
"10","Aaden",2009,5,0,FALSE
"11","Aaden",2016,0,4409,TRUE
"12","Aadesh",2011,0,15,TRUE
"13","Aadhav",2016,0,161,TRUE
"14","Aadhavan",2016,0,30,TRUE
"15","Aadhi",2016,0,28,TRUE
"16","Aadhira",2016,51,0,FALSE
"17","Aadhvik",2016,0,28,TRUE
"18","Aadhvika",2016,9,0,FALSE
"19","Aadhya",2016,1188,0,FALSE
"20","Aadhyan",2015,0,12,TRUE
"21","Aadi",2013,16,0,FALSE
"22","Aadi",2016,0,765,TRUE
"23","Aadian",2014,0,5,TRUE
"24","Aadil",2016,0,326,TRUE
"25","Aadin",2015,0,117,TRUE
"26","Aadish",2016,0,22,TRUE
"27","Aadison",2012,11,0,FALSE
"28","Aadit",2016,0,313,TRUE
"29","Aadith",2016,0,61,TRUE
"30","Aadithya",2016,0,11,TRUE
"31","Aaditri",2016,37,0,FALSE
"32","Aaditya",2016,0,524,TRUE
"33","Aadiv",2015,0,17,TRUE
"34","Aadon",2016,0,117,TRUE
"35","Aadrian",2015,0,12,TRUE
"36","Aadrika",2015,19,0,FALSE
"37","Aadrit",2016,0,10,TRUE
"38","Aadriti",2016,5,0,FALSE
"39","Aadvi",2016,7,0,FALSE
"40","Aadvik",2016,0,137,TRUE
"41","Aadvika",2016,33,0,FALSE
"42","Aadya",2016,876,0,FALSE
"43","Aadyn",2009,16,0,FALSE
"44","Aadyn",2016,0,467,TRUE
"45","Aafia",2015,6,0,FALSE
"46","Aafiya",2016,6,0,FALSE
"47","Aafiyah",2016,5,0,FALSE
"48","Aafreen",2004,5,0,FALSE
"49","Aagam",2016,0,20,TRUE
"50","Aage",1915,0,7,TRUE
"51","Aagna",2016,7,0,FALSE
"52","Aagot",1915,5,0,FALSE
"53","Aahaan",2016,0,27,TRUE
"54","Aahan",2016,0,227,TRUE
"55","Aahana",2016,459,0,FALSE
"56","Aahil",2016,0,488,TRUE
"57","Aahir",2015,0,6,TRUE
"58","Aahliyah",2009,24,0,FALSE
"59","Aahna",2015,84,0,FALSE
"60","Aahron",2008,0,5,TRUE
"61","Aaidan",2010,0,38,TRUE
"62","Aaiden",2016,0,704,TRUE
"63","Aaidyn",2016,0,54,TRUE
"64","Aaila",2016,36,0,FALSE
"65","Aailiyah",2015,15,0,FALSE
"66","Aailyah",2016,184,0,FALSE
"67","Aaima",2016,54,0,FALSE
"68","Aaira",2016,128,0,FALSE
"69","Aairah",2016,71,0,FALSE
"70","Aaisha",2016,182,0,FALSE
"71","Aaishah",2010,18,0,FALSE
"72","Aaiyana",2009,5,0,FALSE
"73","Aaiza",2014,16,0,FALSE
"74","Aaja",2002,5,0,FALSE
"75","Aajah",2009,29,0,FALSE
"76","Aajaylah",2006,20,0,FALSE
"77","Aajon",2007,0,8,TRUE
"78","Aakanksha",2016,10,0,FALSE
"79","Aakarsh",2014,0,53,TRUE
"80","Aakash",2016,0,915,TRUE
"81","Aakeem",2002,0,16,TRUE
"82","Aakilah",2000,18,0,FALSE
"83","Aakira",2002,5,0,FALSE
"84","Aakiyah",2002,5,0,FALSE
"85","Aakriti",2016,43,0,FALSE
"86","Aala",2016,79,0,FALSE
"87","Aalaiya",2011,7,0,FALSE
"88","Aalaiyah",2016,60,0,FALSE
"89","Aalana",2014,43,0,FALSE
"90","Aalanah",2014,21,0,FALSE
"91","Aalani",2016,67,0,FALSE
"92","Aalap",1990,0,6,TRUE
"93","Aalaya",2016,127,0,FALSE
"94","Aalayah",2016,728,0,FALSE
"95","Aalayiah",2016,20,0,FALSE
"96","Aalayjah",2005,6,0,FALSE
"97","Aalayna",2015,40,0,FALSE
"98","Aalaysha",2007,17,0,FALSE
"99","Aalaysia",2016,127,0,FALSE
"100","Aalea",2013,7,0,FALSE
"101","Aaleah",2016,262,0,FALSE
"102","Aaleahya",2015,20,0,FALSE
"103","Aaleayah",2016,5,0,FALSE
"104","Aaleena",2015,5,0,FALSE
"105","Aaleeya",2004,5,0,FALSE
"106","Aaleeyah",2016,114,0,FALSE
"107","Aaleiah",2015,6,0,FALSE
"108","Aaleigha",2016,155,0,FALSE
"109","Aaleiyah",2016,37,0,FALSE
"110","Aalena",2015,5,0,FALSE
"111","Aalexis",2004,20,0,FALSE
"112","Aalexus",1997,6,0,FALSE
"113","Aaleya",2014,16,0,FALSE
"114","Aaleyah",2016,1022,0,FALSE
"115","Aali",2015,0,6,TRUE
"116","Aalia",2016,421,0,FALSE
"117","Aaliah",2016,863,0,FALSE
"118","Aaliana",2016,18,0,FALSE
"119","Aalias",2005,0,5,TRUE
"120","Aaliayah",2014,124,0,FALSE
"121","Aaliayh",2006,47,0,FALSE
"122","Aalicia",2004,5,0,FALSE
"123","Aaliha",2007,12,0,FALSE
"124","Aalijah",2016,127,183,TRUE
"125","Aalim",2013,0,28,TRUE
"126","Aalimah",2014,11,0,FALSE
"127","Aalina",2016,51,0,FALSE
"128","Aalinah",2015,6,0,FALSE
"129","Aalisa",2015,5,0,FALSE
"130","Aalisha",2015,35,0,FALSE
"131","Aalivia",2015,54,0,FALSE
"132","Aaliya",2016,1132,0,FALSE
"133","Aaliyaa",2013,5,0,FALSE
"134","Aaliyah",2015,0,89,TRUE
"135","Aaliyah",2016,79367,0,FALSE
"136","Aaliyaha",2005,21,0,FALSE
